Bin_ID,ELectoral_Area,Bin_Type,Irish_X,Irish_Y
WMS0634,MANSION HOUSE B,Class A,315932.1829,233753.6379
WMS3621,WHITEHALL A,Class B,316787.407,238148.7061
WMS0451,MERCHANTS QUAY F,Class A,313857.4285,232765.9949
WMS3618,INNS QUAY A,Class B,315595.1905,235632.8364
WMS1620,RATHMINES WEST F,Class A,315611.0999,231746.3682
WMS3615,ARRAN QUAY A,Class B,315030.5885,235713.9893
WMS3612,AYRFIELD,Class B,320504.7145,239328.054
WMS3611,GRANGE C,Class B,322380.7685,239745.2714
WMS0810,ROYAL EXCHANGE B,Class A,315891.3641,233891.7414
WMS0177,ROYAL EXCHANGE B,Class A,315842.5026,233799.7655
WMS0733,SAINT KEVINS,Class A,315591.867,232740.4761
WMS1618,SAINT KEVINS,Class A,315567.9769,232737.7556
WMS4016,BALLYGALL A,Cast Iron,313240.2051,238948.8438
WMS3595,ARRAN QUAY A,Class B,315002.372,235230.6213
WMS1616,NORTH CITY,Class A,316139.8493,234473.3815
WMS4618,PEMBROKE WEST C,Cast Iron,317260.5597,233097.7531
WMS4617,PEMBROKE WEST C,Cast Iron,317179.6779,233054.9797
WMS4616,PEMBROKE WEST C,Cast Iron,317191.7577,233078.0239
WMS4583,MERCHANTS QUAY B,Cast Iron,314500.4442,233702.1617
WMS4616,MERCHANTS QUAY C,Cast Iron,314459.0525,233630.0113
WMS4615,MERCHANTS QUAY C,Cast Iron,314423.7974,233609.3961
WMS2933,USHERS F,Class B,313651.1594,233773.6381
WMS3586,ARRAN QUAY D,Class B,313819.868,235048.9057
WMS1608,MERCHANTS QUAY B,Bigbelly Bin,315069.4321,233472.4769
WMS3583,BALLYBOUGH A,Class B,317052.2324,235577.0513
WMS3581,CABRA EAST A,Class B,314618.8033,235870.2233
WMS3580,KIMMAGE E,Class B,313497.8763,230635.7027
WMS0534,ROYAL EXCHANGE B,Class A,315796.9212,233691.1382
WMS0506,ROYAL EXCHANGE B,Class A,315853.325,233793.7314
WMS0509,MANSION HOUSE A,Class A,316177.7223,234258.1833
WMS3577,WALKINSTOWN C,Class B,311752.5783,231253.3183
WMS1606,SOUTH DOCK,Bigbelly Bin,317777.9525,234117.2814
WMS3573,BOTANIC A,Class B,315228.5377,237070.2977
WMS3572,CLONTARF WEST C,Class B,318129.5457,236638.473
WMS0383,ROYAL EXCHANGE B,Class A,315788.3167,233695.9753
WMS3544,CRUMLIN D,Class B,312393.7819,231836.0101
WMS4611,CABRA EAST A,Cast Iron,314437.5154,236456.9224
WMS2725,CABRA WEST C,Class B,313399.4496,235927.5638
WMS2729,DRUMCONDRA SOUTH A,Class B,317211.6403,236574.9772
WMS1605,SOUTH DOCK,Bigbelly Bin,317883.1361,234243.7407
WMS1604,SOUTH DOCK,Bigbelly Bin,317823.798,234249.6367
WMS2899,GRANGE A,Class B,321616.7608,239922.7498
WMS1603,BALLYMUN D,Class A,315487.3702,239615.5694
WMS1602,DRUMCONDRA SOUTH A,Class A,316663.4689,236945.4032
WMS3568,BOTANIC B,Class B,315270.0675,236869.664
WMS3180,PEMBROKE EAST A,Class B,321117.775,233512.8718
WMS1400,MERCHANTS QUAY B,Bigbelly Bin,314691.7795,233854.53
